date,current_260_complete,current_missing_count,local_sheepb_260_dates_complete,2017_11_08_inside_window,interpretation
2018-08-31,False,111,True,True,"calendar availability only, not approved eligibility or ranking"
2018-10-01,False,131,True,True,"calendar availability only, not approved eligibility or ranking"
2018-10-29,False,151,True,True,"calendar availability only, not approved eligibility or ranking"
2018-11-27,False,170,True,False,"calendar availability only, not approved eligibility or ranking"
2018-12-27,False,190,True,False,"calendar availability only, not approved eligibility or ranking"
2019-01-28,False,210,True,False,"calendar availability only, not approved eligibility or ranking"
2019-02-26,False,230,True,False,"calendar availability only, not approved eligibility or ranking"
2019-03-26,False,250,True,False,"calendar availability only, not approved eligibility or ranking"
2019-04-24,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2019-05-22,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2019-06-20,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2019-07-19,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2019-08-16,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2019-09-16,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2019-10-14,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2019-11-11,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2019-12-10,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2020-01-09,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2020-02-07,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2020-03-09,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2020-04-06,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2020-05-05,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
2020-06-03,False,260,True,False,"calendar availability only, not approved eligibility or ranking"
