Date,Open,High,Low,Close,Volume,Name
2017-12-12,71.07,71.15,69.55,69.77,11296188,AABA
2017-12-13,69.8,71.76,69.69,71.24,17321301,AABA
2017-12-14,70.6,70.62,68.84,69.23,17077065,AABA
2017-12-15,69.35,70.54,68.66,70.29,19517623,AABA
2017-12-18,70.54,70.74,69.95,70.14,6776982,AABA
2017-12-19,69.7,70.36,69.38,70.21,14654994,AABA
2017-12-20,70.6,71.05,70.17,70.9,12888149,AABA
2017-12-21,71.0,72.17,70.88,71.59,9682733,AABA
2017-12-22,71.42,71.87,71.22,71.58,10979165,AABA
2017-12-26,70.94,71.39,69.63,69.86,8542802,AABA
2017-12-27,69.77,70.49,69.69,70.06,6345124,AABA
2017-12-28,70.12,70.32,69.51,69.82,7556877,AABA
2017-12-29,69.79,70.13,69.43,69.85,6613070,AABA
